File A,File B,Commits together,Coupling %
ui/qt/lua_debugger_dialog.cpp,ui/qt/lua_debugger_dialog.h,10,100.0
ui/qt/lua_debugger_code_view.h,ui/qt/lua_debugger_dialog.cpp,3,100.0
ui/qt/lua_debugger_code_view.h,ui/qt/lua_debugger_dialog.h,3,100.0
ui/qt/widgets/hex_data_source_view.cpp,ui/qt/widgets/hex_data_source_view.h,6,100.0
ui/qt/utils/software_update.cpp,ui/qt/utils/software_update.h,5,100.0
plugins/epan/pluginifdemo/ui/uiclasshandler.cpp,plugins/epan/pluginifdemo/ui/uihandler.cpp,4,100.0
plugins/epan/pluginifdemo/ui/uihandler.cpp,plugins/epan/pluginifdemo/ui/uihandler.h,4,100.0
epan/dissectors/asn1/lpp/packet-lpp-template.h,epan/dissectors/packet-lpp.c,7,100.0
epan/dissectors/asn1/lpp/packet-lpp-template.h,epan/dissectors/packet-lpp.h,7,100.0
plugins/epan/falco_bridge/sinsp-span.cpp,plugins/epan/falco_bridge/sinsp-span.h,18,100.0
ui/qt/widgets/traffic_tab.cpp,ui/qt/widgets/traffic_tree.h,8,100.0
epan/dissectors/packet-cipmotion.c,epan/dissectors/packet-cipmotion.h,3,100.0
epan/dissectors/packet-sbas_l1.c,epan/dissectors/packet-sbas_l1.h,4,100.0
epan/dissectors/x11-enum.h,epan/dissectors/x11-extension-implementation.h,5,100.0
epan/dissectors/x11-extension-errors.h,epan/dissectors/x11-extension-implementation.h,9,100.0
epan/dissectors/packet-json.c,epan/dissectors/packet-json.h,5,100.0
epan/wslua/lrexlib/pcre2/lpcre2.c,epan/wslua/lrexlib/pcre2/lpcre2_f.c,3,100.0
epan/wslua/wslua_debugger.c,epan/wslua/wslua_debugger.h,12,100.0
plugins/epan/sysdig_bridge/sinsp-span.cpp,plugins/epan/sysdig_bridge/sinsp-span.h,3,100.0
ui/qt/plot_dialog.cpp,ui/qt/plot_dialog.h,8,100.0
epan/dissectors/packet-macsec.c,epan/dissectors/packet-mka.h,6,100.0
epan/dissectors/packet-mka.c,epan/dissectors/packet-mka.h,6,100.0
ui/qt_logshark/logwolf_main_window.h,ui/qt_logshark/logwolf_main_window_slots.cpp,3,100.0
ui/qt/widgets/traffic_tab.cpp,ui/qt/widgets/traffic_tab.h,19,95.0
epan/dissectors/packet-enip.c,epan/dissectors/packet-enip.h,18,94.74
epan/dissectors/packet-oran.c,epan/dissectors/packet-oran.h,17,94.44
epan/dissectors/data-ncsi.c,epan/manuf-data.c,16,94.12
epan/dissectors/data-ncsi.c,epan/iana-info.c,15,93.75
ui/qt/lua_debugger/lua_debugger_dialog.cpp,ui/qt/lua_debugger/lua_debugger_dialog.h,15,93.75
epan/iana-info.c,epan/manuf-data.c,15,93.75
epan/dissectors/packet-nvme.c,epan/dissectors/packet-nvme.h,15,93.75
epan/dissectors/packet-ieee80211.c,epan/dissectors/packet-ieee80211.h,23,92.0
ui/qt/models/atap_data_model.cpp,ui/qt/models/atap_data_model.h,22,91.67
epan/dissectors/data-bluetooth.c,epan/manuf-data.c,11,91.67
ui/qt/io_graph_dialog.cpp,ui/qt/io_graph_dialog.h,44,91.67
epan/dissectors/data-bluetooth.c,epan/iana-info.c,11,91.67
epan/dissectors/data-bluetooth.c,epan/dissectors/data-ncsi.c,11,91.67
epan/dissectors/packet-rtps.c,epan/dissectors/packet-rtps.h,10,90.91
epan/ftypes/ftype-none.c,epan/ftypes/ftypes.c,18,90.0
epan/dissectors/data-bacnet.c,epan/iana-info.c,9,90.0
epan/ftypes/ftype-ieee-11073-float.c,epan/ftypes/ftype-none.c,18,90.0
epan/dissectors/packet-quic.c,epan/dissectors/packet-quic.h,18,90.0
epan/dissectors/data-bacnet.c,epan/dissectors/data-ncsi.c,9,90.0
epan/ftypes/ftype-none.c,epan/ftypes/ftypes-int.h,18,90.0
epan/dissectors/data-bacnet.c,epan/manuf-data.c,9,90.0
epan/dissectors/packet-bluetooth-data.c,epan/enterprises.c,26,89.66
epan/dfilter/dfvm.c,epan/dfilter/dfvm.h,42,89.36
epan/dfilter/dfilter-int.h,epan/dfilter/dfilter.c,58,89.23
epan/dissectors/packet-gsmtap.c,epan/dissectors/packet-gsmtap.h,8,88.89
epan/dissectors/packet-asterix.c,tools/asterix/packet-asterix-template.c,16,88.89
plugins/epan/falco_bridge/packet-falco-bridge.c,plugins/epan/falco_bridge/sinsp-span.h,16,88.89
epan/unit_strings.c,epan/unit_strings.h,7,87.5
epan/dissectors/asn1/cosem/packet-cosem-template.c,epan/dissectors/packet-cosem.c,14,87.5
epan/dissectors/packet-iso15765.c,epan/dissectors/packet-iso15765.h,7,87.5
ui/qt/widgets/traffic_tree.cpp,ui/qt/widgets/traffic_tree.h,7,87.5
epan/dissectors/packet-bpv7.c,epan/dissectors/packet-bpv7.h,7,87.5
epan/dissectors/packet-nr-rrc.c,epan/dissectors/packet-nr-rrc.h,27,87.1
epan/ftypes/ftype-guid.c,epan/ftypes/ftypes.c,20,86.96
epan/ftypes/ftype-guid.c,epan/ftypes/ftypes-int.h,20,86.96
epan/ftypes/ftype-bytes.c,epan/ftypes/ftype-guid.c,20,86.96
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-protocol.c,20,86.96
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-time.c,20,86.96
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-ipv6.c,20,86.96
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-string.c,20,86.96
epan/dissectors/packet-ncsi-data.c,epan/enterprises.c,13,86.67
epan/dissectors/packet-ncsi-data.c,epan/manuf-data.c,13,86.67
epan/enterprises.c,epan/manuf-data.c,122,86.52
epan/crypt/dot11decrypt_user.h,epan/dissectors/packet-ieee80211.c,12,85.71
epan/dissectors/packet-cose.c,epan/dissectors/packet-cose.h,6,85.71
epan/dissectors/packet-dcerpc-netlogon.c,epan/dissectors/packet-dcerpc-netlogon.h,6,85.71
epan/dissectors/packet-ieee802154.c,epan/dissectors/packet-ieee802154.h,6,85.71
epan/dissectors/file-pcapng.c,epan/dissectors/file-pcapng.h,6,85.71
wsutil/str_util.c,wsutil/str_util.h,30,85.71
ui/qt/layout_preferences_frame.cpp,ui/qt/layout_preferences_frame.h,6,85.71
epan/crypt/dot11decrypt.c,epan/crypt/dot11decrypt_user.h,12,85.71
epan/dissectors/packet-lin.c,epan/dissectors/packet-lin.h,6,85.71
epan/dissectors/packet-sip.c,epan/dissectors/packet-sip.h,6,85.71
epan/wslua/lrexlib/common.c,epan/wslua/lrexlib/pcre2/lpcre2.c,6,85.71
ui/qt/rtp_stream_dialog.cpp,ui/qt/rtp_stream_dialog.h,18,85.71
epan/dissectors/packet-smb2.c,epan/dissectors/packet-smb2.h,18,85.71
epan/prefs.h,ui/qt/layout_preferences_frame.h,6,85.71
epan/dissectors/packet-cip.c,epan/dissectors/packet-cip.h,24,85.71
epan/prefs.c,ui/qt/layout_preferences_frame.h,6,85.71
epan/ftypes/ftype-none.c,epan/ftypes/ftype-time.c,17,85.0
epan/ftypes/ftype-ipv6.c,epan/ftypes/ftype-none.c,17,85.0
epan/ftypes/ftype-ipv4.c,epan/ftypes/ftype-none.c,17,85.0
epan/ftypes/ftype-integer.c,epan/ftypes/ftype-none.c,17,85.0
epan/ftypes/ftype-none.c,epan/ftypes/ftype-string.c,17,85.0
epan/ftypes/ftype-none.c,epan/ftypes/ftype-protocol.c,17,85.0
epan/ftypes/ftype-double.c,epan/ftypes/ftype-none.c,17,85.0
epan/ftypes/ftype-bytes.c,epan/ftypes/ftype-none.c,17,85.0
ui/qt/widgets/byte_view_text.cpp,ui/qt/widgets/byte_view_text.h,11,84.62
epan/dissectors/packet-tls-utils.c,epan/dissectors/packet-tls-utils.h,81,84.38
ui/qt/rtp_audio_stream.cpp,ui/qt/rtp_audio_stream.h,21,84.0
epan/ftypes/ftype-ipv4.c,epan/ftypes/ftype-ipv6.c,26,83.87
epan/dissectors/packet-diameter.c,epan/dissectors/packet-diameter.h,5,83.33
epan/dissectors/asn1/sgp32/packet-sgp32-template.c,epan/dissectors/packet-sgp32.c,5,83.33
ui/qt/widgets/traffic_types_list.cpp,ui/qt/widgets/traffic_types_list.h,5,83.33
epan/dissectors/packet-rdp.c,epan/dissectors/packet-rdp.h,10,83.33
epan/crypt/dot11decrypt.c,epan/crypt/dot11decrypt_tkip.c,5,83.33
wsutil/802_11-utils.c,wsutil/802_11-utils.h,5,83.33
ui/qt/welcome_page.cpp,ui/qt/widgets/info_banner_widget.h,5,83.33
epan/dissectors/packet-asap+enrp-common.h,epan/dissectors/packet-enrp.c,5,83.33
epan/dfilter/dfunctions.c,epan/dfilter/dfunctions.h,15,83.33
epan/dissectors/packet-udp.c,epan/dissectors/packet-udp.h,5,83.33
ui/qt/welcome_page.cpp,ui/qt/widgets/learn_card_widget.cpp,5,83.33
ui/qt/widgets/syntax_line_edit.cpp,ui/qt/widgets/syntax_line_edit.h,5,83.33
ui/qt/data_source_tab.cpp,ui/qt/widgets/hex_data_source_view.h,5,83.33
epan/dissectors/packet-http.c,epan/dissectors/packet-http.h,15,83.33
epan/dissectors/packet-flexray.c,epan/dissectors/packet-flexray.h,5,83.33
epan/dissectors/packet-qcdiag.c,epan/dissectors/packet-qcdiag.h,5,83.33
ui/qt/rtp_player_dialog.cpp,ui/qt/rtp_player_dialog.h,39,82.98
ui/recent.c,ui/recent.h,24,82.76
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-ieee-11073-float.c,19,82.61
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-ipv4.c,19,82.61
epan/ftypes/ftype-double.c,epan/ftypes/ftype-guid.c,19,82.61
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-integer.c,19,82.61
epan/dissectors/asn1/kerberos/packet-kerberos-template.h,epan/dissectors/packet-kerberos.h,14,82.35
wiretap/pcapng.c,wiretap/pcapng_module.h,28,82.35
epan/tfs.c,epan/tfs.h,14,82.35
epan/dissectors/asn1/xnap/packet-xnap-template.c,epan/dissectors/packet-xnap.c,37,82.22
ui/logray/logray_main_window_slots.cpp,ui/qt/wireshark_main_window_slots.cpp,59,81.94
ui/stratoshark/stratoshark_main_window.cpp,ui/stratoshark/stratoshark_main_window.h,18,81.82
wsutil/regex.c,wsutil/regex.h,9,81.82
epan/dissectors/asn1/kerberos/packet-kerberos-template.c,epan/dissectors/packet-kerberos.c,110,81.48
extcap.c,extcap.h,13,81.25
epan/prefs-int.h,epan/prefs.c,26,81.25
epan/dfilter/dfvm.h,epan/dfilter/gencode.c,38,80.85
capture_opts.c,capture_opts.h,25,80.65
epan/enterprises.c,epan/services-data.c,29,80.56
epan/services-data.c,epan/services.h,4,80.0
epan/crypt/dot11decrypt_ccmp.c,epan/crypt/dot11decrypt_gcmp.c,4,80.0
epan/services.c,epan/services.h,4,80.0
ui/logwolf/logwolf_main_window.cpp,ui/logwolf/logwolf_main_window_slots.cpp,4,80.0
epan/crypt/dot11decrypt.c,epan/crypt/dot11decrypt_gcmp.c,4,80.0
ui/qt/widgets/profile_tree_view.cpp,ui/qt/widgets/profile_tree_view.h,4,80.0
ui/qt/rtp_audio_stream.h,ui/qt/rtp_player_dialog.cpp,20,80.0
epan/crypt/dot11decrypt_gcmp.c,epan/crypt/dot11decrypt_int.h,4,80.0
plugins/epan/sysdig_bridge/packet-sysdig-bridge.c,plugins/epan/sysdig_bridge/packet-sysdig-bridge.h,8,80.0
epan/wslua/lrexlib/algo.h,epan/wslua/lrexlib/common.c,4,80.0
ui/qt/packet_format_group_box.cpp,ui/qt/packet_format_group_box.h,4,80.0
plugins/epan/sysdig_bridge/packet-sysdig-bridge.c,plugins/epan/sysdig_bridge/sinsp-span.cpp,4,80.0
epan/dissectors/packet-someip.c,epan/dissectors/packet-someip.h,4,80.0
epan/wslua/lrexlib/algo.h,epan/wslua/lrexlib/pcre2/lpcre2.c,4,80.0
ui/qt/main_window_preferences_frame.cpp,ui/qt/main_window_preferences_frame.h,4,80.0
epan/wslua/lrexlib/algo.h,epan/wslua/lrexlib/common.h,4,80.0
epan/dissectors/x11-enum.h,epan/dissectors/x11-glx-render-enum.h,4,80.0
epan/dissectors/packet-tls-utils.c,epan/dissectors/packet-tls.h,4,80.0
epan/dissectors/packet-tls-utils.h,epan/dissectors/packet-tls.h,4,80.0
ui/qt/plot.h,ui/qt/plot_dialog.h,4,80.0
ui/qt/welcome_page.cpp,ui/stratoshark/stratoshark_welcome_page.cpp,4,80.0
epan/dissectors/packet-bluetooth-data.c,epan/dissectors/packet-ncsi-data.c,12,80.0
epan/ftypes/ftype-guid.c,epan/ftypes/ftype-none.c,16,80.0
plugins/epan/opcua/opcua_simpletypes.h,plugins/epan/opcua/opcua_transport_layer.c,4,80.0
ui/qt/plot.h,ui/qt/plot_dialog.cpp,4,80.0
ui/qt/widgets/info_banner_widget.cpp,ui/qt/widgets/learn_card_widget.h,4,80.0
epan/dissectors/packet-uds.c,epan/dissectors/packet-uds.h,4,80.0
ui/qt/extcap_argument.cpp,ui/qt/extcap_argument.h,8,80.0
epan/dfilter/semcheck.c,epan/dfilter/sttype-string.c,16,80.0
epan/dissectors/packet-zbee-zcl.c,epan/dissectors/packet-zbee-zcl.h,8,80.0
epan/dissectors/packet-json.h,epan/dissectors/packet-json_3gpp.c,4,80.0
epan/dissectors/packet-pdcp-nr.c,epan/dissectors/packet-pdcp-nr.h,4,80.0
ui/qt/widgets/json_data_source_view.cpp,ui/qt/widgets/json_data_source_view.h,4,80.0
epan/crypt/dot11decrypt_gcmp.c,epan/crypt/dot11decrypt_system.h,4,80.0
epan/prefs.c,epan/prefs.h,55,79.71
epan/dissectors/asn1/nr-rrc/packet-nr-rrc-template.c,epan/dissectors/packet-nr-rrc.c,47,79.66
epan/ftypes/ftype-ipv6.c,epan/ftypes/ftypes.c,26,78.79
epan/dissectors/packet-socketcan.c,epan/dissectors/packet-socketcan.h,11,78.57
epan/dissectors/packet-http2.c,epan/dissectors/packet-http2.h,11,78.57
ui/qt/preferences_dialog.cpp,ui/qt/preferences_dialog.h,7,77.78
epan/dissectors/packet-btle.c,epan/dissectors/packet-btle.h,7,77.78
ui/capture_opts.c,ui/capture_opts.h,7,77.78
epan/dissectors/packet-infiniband.c,epan/dissectors/packet-infiniband.h,7,77.78
epan/manuf-data.c,epan/services-data.c,28,77.78
epan/dissectors/packet-qcdiag.c,epan/dissectors/packet-qcdiag_log.c,7,77.78
epan/dissectors/packet-rf4ce-secur.c,epan/dissectors/packet-rf4ce-secur.h,7,77.78
ui/qt/packet_list.cpp,ui/qt/packet_list.h,24,77.42
epan/ftypes/ftype-ipv4.c,epan/ftypes/ftypes.c,24,77.42
file.c,file.h,24,77.42
ui/qt/import_text_dialog.cpp,ui/qt/import_text_dialog.h,10,76.92
epan/dissectors/asn1/x2ap/packet-x2ap-template.c,epan/dissectors/packet-x2ap.c,30,76.92
ui/qt/tcp_stream_dialog.cpp,ui/qt/tcp_stream_dialog.h,10,76.92
epan/dissectors/packet-lte-rrc.c,epan/dissectors/packet-lte-rrc.h,10,76.92
ui/logray/logray_main_window.h,ui/logray/logray_main_window_slots.cpp,26,76.47
epan/dissectors/packet-rtp.c,epan/dissectors/packet-rtp.h,13,76.47
epan/manuf.c,epan/manuf.h,13,76.47
wsutil/plugins.c,wsutil/plugins.h,29,76.32
epan/ftypes/ftype-ipv6.c,epan/ftypes/ftypes-int.h,25,75.76
epan/dissectors/asn1/lte-rrc/packet-lte-rrc-template.c,epan/dissectors/packet-lte-rrc.c,40,75.47
epan/dissectors/packet-sgp22.h,epan/dissectors/packet-sgp32.h,3,75.0
epan/dissectors/packet-sgp32.c,epan/dissectors/packet-sgp32.h,3,75.0
epan/dissectors/packet-mac-nr.h,epan/dissectors/packet-rlc-nr.h,3,75.0
caputils/capture-pcap-util-int.h,caputils/capture-wpcap.c,3,75.0
epan/dissectors/packet-nr-rrc.c,epan/dissectors/packet-rlc-nr.h,3,75.0
epan/dissectors/packet-sgp22.c,epan/dissectors/packet-sgp32.h,3,75.0
include/ws_exit_codes.h,ui/qt/main.cpp,3,75.0
ui/qt_logshark/logshark_application.cpp,ui/qt_logshark/logshark_application.h,3,75.0
include/ws_exit_codes.h,tshark.c,3,75.0
ui/qt/widgets/traffic_tab.h,ui/qt/widgets/traffic_tree.h,6,75.0
epan/dissectors/packet-tcpcl.c,epan/dissectors/packet-tcpcl.h,3,75.0
ui/qt/widgets/apply_line_edit.cpp,ui/qt/widgets/interface_toolbar_lineedit.cpp,3,75.0
include/ws_exit_codes.h,ui/commandline.c,3,75.0
epan/dissectors/packet-pdcp-nr.c,epan/dissectors/packet-rlc-nr.h,3,75.0
wiretap/ttl.c,wiretap/ttl.h,3,75.0
epan/dissectors/asn1/e1ap/packet-e1ap-template.c,epan/dissectors/packet-e1ap.c,24,75.0
epan/dissectors/packet-iwarp-ddp-rdmap.c,epan/dissectors/packet-iwarp-ddp-rdmap.h,3,75.0
epan/dissectors/file-rbm.c,epan/dissectors/file-rbm.h,3,75.0
epan/dissectors/packet-eth.c,epan/dissectors/packet-eth.h,3,75.0
frame_tvbuff.h,ringbuffer.h,3,75.0
cfile.h,frame_tvbuff.h,3,75.0
ui/qt/byte_view_tab.cpp,ui/qt/byte_view_tab.h,6,75.0
epan/dissectors/packet-btatt.c,epan/dissectors/packet-btatt.h,6,75.0
epan/tvbuff.h,epan/tvbuff_hpackhuff.c,3,75.0
plugins/epan/pluginifdemo/pluginifdemo.c,plugins/epan/pluginifdemo/ui/uiclasshandler.cpp,3,75.0
epan/dissectors/asn1/t38/packet-t38-template.h,epan/dissectors/packet-t38.h,3,75.0
plugins/epan/pluginifdemo/ui/pluginifdemo_main.cpp,plugins/epan/pluginifdemo/ui/uiclasshandler.cpp,3,75.0
plugins/epan/pluginifdemo/pluginifdemo.c,plugins/epan/pluginifdemo/ui/uihandler.h,3,75.0
epan/dissectors/packet-e212.c,epan/dissectors/packet-e212.h,6,75.0
epan/wslua/wslua_nstime.c,epan/wslua/wslua_proto_field.c,3,75.0
ui/stratoshark/stratoshark_application.h,ui/stratoshark/stratoshark_main.cpp,3,75.0
ui/stratoshark/stratoshark_application.cpp,ui/stratoshark/stratoshark_application.h,3,75.0
ui/qt/lua_debugger_code_view.cpp,ui/qt/lua_debugger_dialog.h,3,75.0
epan/dissectors/x11-glx-render-enum.h,epan/dissectors/x11-register-info.h,3,75.0
plugins/epan/pluginifdemo/ui/uiclasshandler.cpp,plugins/epan/pluginifdemo/ui/uihandler.h,3,75.0
ui/qt/lua_debugger_code_view.cpp,ui/qt/lua_debugger_dialog.cpp,3,75.0
epan/dissectors/packet-gre.c,epan/dissectors/packet-gre.h,3,75.0
ui/qt/widgets/display_filter_edit.cpp,ui/qt/widgets/display_filter_edit.h,6,75.0
epan/dfilter/sttype-range.h,epan/dfilter/syntax-tree.h,3,75.0
epan/dfilter/sttype-range.c,epan/dfilter/sttype-range.h,3,75.0
epan/dfilter/semcheck.c,epan/dfilter/sttype-range.h,3,75.0
epan/dissectors/data-isobus.c,epan/dissectors/data-ncsi.c,3,75.0
epan/dissectors/data-isobus.c,epan/manuf-data.c,3,75.0
epan/ftypes/ftype-double.c,epan/ftypes/ftype-time.c,21,75.0
epan/ftypes/ftype-double.c,epan/ftypes/ftype-integer.c,21,75.0
ui/qt/welcome_page.cpp,ui/qt/welcome_page.h,12,75.0
epan/to_str-int.h,wsutil/to_str.c,3,75.0
epan/dissectors/data-isobus.c,epan/iana-info.c,3,75.0
epan/dissectors/packet-zbee-security.c,epan/dissectors/packet-zbee-security.h,3,75.0
epan/dissectors/packet-ntlmssp.c,epan/dissectors/packet-ntlmssp.h,6,75.0
ui/qt/widgets/base_data_source_view.h,ui/qt/widgets/hex_data_source_view.cpp,3,75.0
ui/qt/data_source_tab.cpp,ui/qt/widgets/base_data_source_view.h,3,75.0
ui/qt_logshark/logshark_application.cpp,ui/qt_logshark/ls_main.cpp,3,75.0
ui/qt/widgets/base_data_source_view.h,ui/qt/widgets/hex_data_source_view.h,3,75.0
epan/pci-ids.c,epan/pci-ids.h,3,75.0
epan/ftypes/ftype-double.c,epan/ftypes/ftypes.c,21,75.0
ui/qt/utils/data_printer.cpp,ui/qt/utils/data_printer.h,6,75.0
epan/to_str-int.h,wsutil/to_str.h,3,75.0
ui/qt/io_graph.h,ui/qt/io_graph_dialog.cpp,3,75.0
wsutil/ws_strptime.c,wsutil/ws_strptime.h,3,75.0
epan/ftypes/ftype-double.c,epan/ftypes/ftype-ieee-11073-float.c,21,75.0
epan/wmem/wmem_core.c,epan/wmem/wmem_stack.c,3,75.0
